priority,item_kind,document_id,source_pdf,pdf_path,page_start_1based,page_end_1based,citation,record_type,evidence_id,source_id,table_id,row_index,section,candidate_source,confidence,quality_flags,qa_flags,qa_status,review_reasons,suggested_action,review_task,evidence_span,text_preview,extracted_json,metrics_json,student_decision,corrected_record_type,corrected_evidence_span,corrected_extracted_json,corrected_metrics_json,reject_reason,reviewer,review_notes,curation_accept_command,curation_reject_command,curation_edit_command_template
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,2,2,A11.pdf:p2,immobilization_strategy,ev_c7f3893c3f6ac853,A11_chunk_0005,,,1. Introduction,rag_chunk,low,suspicious_percent_gt_300,,,upstream_quality_flags,edit_or_reject,核对 PDF 原值、单位和小数点；确认 OCR 错误则 edit，PDF 本身无法确认则 reject。,"$\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ (University of Oslo-66-Amino), a metal-organic frame work (MOF), possesses a highly ordered nanoscale pore structure and tunable amino functional groups. It is capable of efficiently loading LIP through physical adsorption or chemical bonding, thereby increasing immobilization efficiency, and thus has become a prominent immobi lization carrier for LI","$\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ (University of Oslo-66-Amino), a metal-organic frame work (MOF), possesses a highly ordered nanoscale pore structure and tunable amino functional groups. It is capable of efficiently loading LIP through physical adsorption or chemical bonding, thereby increasing immobilization efficiency, and thus has become a prominent immobi lization carrier for LI","{""immobilization_method"":""adsorption""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f3893c3f6ac853 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f3893c3f6ac853 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f3893c3f6ac853 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_1686a469f04c0ea7,A11_p4_t85,A11_p4_t85,5,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: MIL-101(Fe); Recovery activity (%): $7 5 . 2 \pm 0 . 2$; Loading amounts (mg/g): 45.4,MOFs: MIL-101(Fe); Recovery activity (%): $7 5 . 2 \pm 0 . 2$; Loading amounts (mg/g): 45.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":5,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_26f50a711c10c1a3,A11_p4_t85,A11_p4_t85,3,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: MIL-53(Al); Recovery activity (%): $7 5 . 9 \pm 0 . 4$; Loading amounts (mg/g): 48.0,MOFs: MIL-53(Al); Recovery activity (%): $7 5 . 9 \pm 0 . 4$; Loading amounts (mg/g): 48.0,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":3,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_27b0a04dd0e9bf86,A11_p4_t85,A11_p4_t85,4,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: MIL-88A(Fe); Recovery activity (%): $7 1 . 3 \pm 1 . 7$; Loading amounts (mg/g): 48.4,MOFs: MIL-88A(Fe); Recovery activity (%): $7 1 . 3 \pm 1 . 7$; Loading amounts (mg/g): 48.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":4,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_3f94b271a618cdad,A11_p4_t85,A11_p4_t85,2,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: ZIF-67(Co); Recovery activity (%): $1 2 9 . 4 \pm 1 . 5$; Loading amounts (mg/g): 46.3,MOFs: ZIF-67(Co); Recovery activity (%): $1 2 9 . 4 \pm 1 . 5$; Loading amounts (mg/g): 46.3,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":2,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_4028c0dcf1673a71,A11_p4_t85,A11_p4_t85,8,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: OPA/UiO-66-NH2(Zr); Recovery activity (%): $2 1 3 . 3 \pm 1 . 2$; Loading amounts (mg/g): 48.6,MOFs: OPA/UiO-66-NH2(Zr); Recovery activity (%): $2 1 3 . 3 \pm 1 . 2$; Loading amounts (mg/g): 48.6,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":8,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_4f3b0dfa6231b955,A11_p4_t85,A11_p4_t85,7,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: UiO-66-NH2(Zr); Recovery activity (%): $1 5 0 . 3 \pm 0 . 6$; Loading amounts (mg/g): 48.4,MOFs: UiO-66-NH2(Zr); Recovery activity (%): $1 5 0 . 3 \pm 0 . 6$; Loading amounts (mg/g): 48.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":7,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_6f38c36ee6865dd7,A11_p4_t85,A11_p4_t85,1,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: ZIF-8(Zn); Recovery activity (%): $6 7 . 4 \pm 0 . 3$; Loading amounts (mg/g): 47.2,MOFs: ZIF-8(Zn); Recovery activity (%): $6 7 . 4 \pm 0 . 3$; Loading amounts (mg/g): 47.2,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":1,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,5,5,A11.pdf:p5,table_comparison_row,ev_c7f23d7fbff32f10,A11_p4_t85,A11_p4_t85,6,3.1. Material characterization,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,MOFs: PCN-224(Zr); Recovery activity (%): $5 6 . 1 \pm 0 . 9$; Loading amounts (mg/g): 35.6,MOFs: PCN-224(Zr); Recovery activity (%): $5 6 . 1 \pm 0 . 9$; Loading amounts (mg/g): 35.6,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":6,""substrate"":null,""table_id"":""A11_p4_t85""}",[],,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
P1,evidence_record,A12,A12.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A12.pdf,10,10,A12.pdf:p10,table_comparison_row,ev_10cf97accd1032c7,A12_p9_t133,A12_p9_t133,8,Pyrazole synthesis,table_record,low,missing_enzyme_cell,,,upstream_quality_flags,edit_or_reject,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,Entry: 8; catalyst: Porcine Pancreas Lipase (PPL); Amount of catalyst(mg): 15; Time: 24 h; Yield (%): 20,Entry: 8; catalyst: Porcine Pancreas Lipase (PPL); Amount of catalyst(mg): 15; Time: 24 h; Yield (%): 20,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":8,""substrate"":null,""table_id"":""A12_p9_t133""}","[{""name"":""biodiesel_yield"",""raw"":""20"",""unit"":""%"",""value"":20.0}]",,,,,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action reject --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json"
