document_id,source_pdf,page_1based,fallback_pdf,status,suggested_action,review_note
A34,A34.pdf,8,artifacts/pdf_raster_fallback/A34/A34.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A34,A34.pdf,9,artifacts/pdf_raster_fallback/A34/A34.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A34,A34.pdf,10,artifacts/pdf_raster_fallback/A34/A34.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A35,A35.pdf,9,artifacts/pdf_raster_fallback/A35/A35.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A35,A35.pdf,10,artifacts/pdf_raster_fallback/A35/A35.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A35,A35.pdf,11,artifacts/pdf_raster_fallback/A35/A35.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A39,A39.pdf,7,artifacts/pdf_raster_fallback/A39/A39.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A39,A39.pdf,8,artifacts/pdf_raster_fallback/A39/A39.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A49,A49.pdf,12,artifacts/pdf_raster_fallback/A49/A49.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A51,A51.pdf,11,artifacts/pdf_raster_fallback/A51/A51.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A51,A51.pdf,12,artifacts/pdf_raster_fallback/A51/A51.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A53,A53.pdf,11,artifacts/pdf_raster_fallback/A53/A53.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A57,A57.pdf,8,artifacts/pdf_raster_fallback/A57/A57.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A57,A57.pdf,9,artifacts/pdf_raster_fallback/A57/A57.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A65,A65.pdf,9,artifacts/pdf_raster_fallback/A65/A65.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A65,A65.pdf,10,artifacts/pdf_raster_fallback/A65/A65.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
