candidate_source,citation,columns_json,confidence,corrected_evidence_span,corrected_extracted_json,corrected_metrics_json,corrected_record_type,curation_accept_command,curation_edit_command_template,curation_reject_command,document_id,evidence_id,evidence_span,extracted_json,item_kind,metrics_json,page_end_1based,page_start_1based,pdf_path,priority,qa_flags,qa_status,quality_flags,record_type,reject_reason,review_notes,review_reasons,review_task,reviewer,row_index,rows_preview_json,section,source_id,source_pdf,student_decision,suggested_action,table_id,text_preview
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_1686a469f04c0ea7 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_1686a469f04c0ea7,MOFs: MIL-101(Fe); Recovery activity (%): $7 5 . 2 \pm 0 . 2$; Loading amounts (mg/g): 45.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":5,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,5,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: MIL-101(Fe); Recovery activity (%): $7 5 . 2 \pm 0 . 2$; Loading amounts (mg/g): 45.4
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_26f50a711c10c1a3 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_26f50a711c10c1a3,MOFs: MIL-53(Al); Recovery activity (%): $7 5 . 9 \pm 0 . 4$; Loading amounts (mg/g): 48.0,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":3,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,3,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: MIL-53(Al); Recovery activity (%): $7 5 . 9 \pm 0 . 4$; Loading amounts (mg/g): 48.0
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_27b0a04dd0e9bf86 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_27b0a04dd0e9bf86,MOFs: MIL-88A(Fe); Recovery activity (%): $7 1 . 3 \pm 1 . 7$; Loading amounts (mg/g): 48.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":4,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,4,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: MIL-88A(Fe); Recovery activity (%): $7 1 . 3 \pm 1 . 7$; Loading amounts (mg/g): 48.4
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_3f94b271a618cdad --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_3f94b271a618cdad,MOFs: ZIF-67(Co); Recovery activity (%): $1 2 9 . 4 \pm 1 . 5$; Loading amounts (mg/g): 46.3,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":2,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,2,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: ZIF-67(Co); Recovery activity (%): $1 2 9 . 4 \pm 1 . 5$; Loading amounts (mg/g): 46.3
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4028c0dcf1673a71 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_4028c0dcf1673a71,MOFs: OPA/UiO-66-NH2(Zr); Recovery activity (%): $2 1 3 . 3 \pm 1 . 2$; Loading amounts (mg/g): 48.6,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":8,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,8,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: OPA/UiO-66-NH2(Zr); Recovery activity (%): $2 1 3 . 3 \pm 1 . 2$; Loading amounts (mg/g): 48.6
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_4f3b0dfa6231b955 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_4f3b0dfa6231b955,MOFs: UiO-66-NH2(Zr); Recovery activity (%): $1 5 0 . 3 \pm 0 . 6$; Loading amounts (mg/g): 48.4,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":7,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,7,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: UiO-66-NH2(Zr); Recovery activity (%): $1 5 0 . 3 \pm 0 . 6$; Loading amounts (mg/g): 48.4
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_6f38c36ee6865dd7 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_6f38c36ee6865dd7,MOFs: ZIF-8(Zn); Recovery activity (%): $6 7 . 4 \pm 0 . 3$; Loading amounts (mg/g): 47.2,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":1,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,1,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: ZIF-8(Zn); Recovery activity (%): $6 7 . 4 \pm 0 . 3$; Loading amounts (mg/g): 47.2
table_record,A11.pdf:p5,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A11 --evidence-id ev_c7f23d7fbff32f10 --action reject --reviewer <reviewer> --reason ""<reason>""",A11,ev_c7f23d7fbff32f10,MOFs: PCN-224(Zr); Recovery activity (%): $5 6 . 1 \pm 0 . 9$; Loading amounts (mg/g): 35.6,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":6,""substrate"":null,""table_id"":""A11_p4_t85""}",evidence_record,[],5,5,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,6,,3.1. Material characterization,A11_p4_t85,A11.pdf,,edit_or_reject,A11_p4_t85,MOFs: PCN-224(Zr); Recovery activity (%): $5 6 . 1 \pm 0 . 9$; Loading amounts (mg/g): 35.6
table_record,A12.pdf:p10,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_10cf97accd1032c7 --action reject --reviewer <reviewer> --reason ""<reason>""",A12,ev_10cf97accd1032c7,Entry: 8; catalyst: Porcine Pancreas Lipase (PPL); Amount of catalyst(mg): 15; Time: 24 h; Yield (%): 20,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":8,""substrate"":null,""table_id"":""A12_p9_t133""}",evidence_record,"[{""name"":""biodiesel_yield"",""raw"":""20"",""unit"":""%"",""value"":20.0}]",10,10,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A12.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,8,,Pyrazole synthesis,A12_p9_t133,A12.pdf,,edit_or_reject,A12_p9_t133,Entry: 8; catalyst: Porcine Pancreas Lipase (PPL); Amount of catalyst(mg): 15; Time: 24 h; Yield (%): 20
table_record,A12.pdf:p10,,low,,,,,"PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_1b5aec9c86a24ded --action accept --reviewer <reviewer> --reason ""<reason>""","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_1b5aec9c86a24ded --action edit --reviewer <reviewer> --reason ""<reason>"" --edit-file reports/manual_review_260525/manual_edit_template.json","PYTHONPATH=src .venv/bin/python scripts/curate_evidence.py --artifact-root artifacts --document-id A12 --evidence-id ev_1b5aec9c86a24ded --action reject --reviewer <reviewer> --reason ""<reason>""",A12,ev_1b5aec9c86a24ded,Entry: 2; catalyst: Candida antarctica lipase B (CAL-B); Amount of catalyst(mg): $1 5 ^ { [ \mathrm { b } ] }$; Time: 24 h; Yield (%): 18,"{""acyl_acceptor"":null,""enzyme_name"":null,""operating_conditions"":null,""reaction_system"":null,""reference"":null,""row_index"":2,""substrate"":null,""table_id"":""A12_p9_t133""}",evidence_record,"[{""name"":""biodiesel_yield"",""raw"":""18"",""unit"":""%"",""value"":18.0}]",10,10,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A12.pdf,P1,,,missing_enzyme_cell,table_comparison_row,,,upstream_quality_flags,回到 PDF 表格确认该行 enzyme 是否能由表头/caption/相邻行唯一确定；能确定则 edit，不能确定则 reject。,,2,,Pyrazole synthesis,A12_p9_t133,A12.pdf,,edit_or_reject,A12_p9_t133,Entry: 2; catalyst: Candida antarctica lipase B (CAL-B); Amount of catalyst(mg): $1 5 ^ { [ \mathrm { b } ] }$; Time: 24 h; Yield (%): 18
